"id","comment_text","is_blocked","time","author_id","parent_id","post_id","is_deleted"
"200","Очень интересно, пиши еще","false","2021-07-14T10:42:23","123","NULL","203","false"
"201","Это точная информация?","false","2021-07-10T10:42:23","124","NULL","203","false"
"203","О, полезная статья!","false","2021-07-19T10:42:23","127","NULL","203","false"
"204","Почему так?","false","2021-05-19T10:42:23","126","NULL","202","false"
"205","Спасибо, очень интересно","false","2021-05-29T10:42:23","123","NULL","202","false"
"206","Пробовал сегодня такую штуку, не работает","false","2021-05-30T10:42:23","124","NULL","202","false"
"207","У меня тоже не работает","false","2021-06-01T10:42:23","125","NULL","202","false"
"208","Перечитайте статью еще раз, у меня все ок","false","2021-06-02T10:42:23","126","NULL","202","false"
"209","У меня кстати тоже не работает после обновления","false","2021-06-03T10:42:23","127","NULL","202","false"
"210","Спасибо, почитаю еще","false","2021-06-11T10:42:23","123","NULL","201","false"
"211","Очень помогло, использую теперь","false","2021-06-12T10:42:23","124","NULL","201","false"
"212","Спасибо, очень интересно","false","2021-06-12T11:42:23","125","NULL","201","false"
"213","Тоже думаю сделать статью по этой теме","false","2021-06-22T11:42:23","126","NULL","201","false"
"214","Скучно","false","2021-06-10T11:42:23","126","NULL","200","false"
"215","Почитать бы еще на эту тему","false","2021-07-10T11:42:23","123","NULL","200","false"
"216","Кстати были уже подобные статьи","false","2021-07-11T11:42:23","124","NULL","200","false"
"217","Печалька, у меня не получается","false","2021-07-15T11:42:23","125","NULL","200","false"
"218","Спасибо, очень интересно","false","2021-07-17T11:42:23","126","NULL","200","false"
"219","Откуда это взялось?","false","2021-07-19T11:42:23","127","NULL","200","false"
"220","О, наконец-то пост!","false","2021-07-20T11:42:23","127","NULL","200","false"
